Amount - Order Total,Item - Fill SKU,Item - Price,Item - Qty,Item - SKU,Ship To - State,Date - Order Date
"173.39",,"159.99","1","Air-cooler-Non-0001","NV","7/6/2021 1:27:25 PM"
"279.98",,"139.99","2","BT-TRIPOD-01","VA","7/6/2021 3:48:16 PM"
"154.34",,"139.99","1","BT-TRIPOD-01","IL","7/6/2021 4:10:20 PM"
"237.59",,"219.99","1","Air-cooler-Non-0002","AL","7/6/2021 4:48:08 PM"
"233.19",,"219.99","1","Air-cooler-Non-0002","ID","7/6/2021 6:16:08 PM"
"275.61",,"249.99","1","Air-Cooler-Big-0001","WA","7/6/2021 6:11:41 PM"
"269.36",,"249.99","1","Air-Cooler-Big-0001","CA","7/6/2021 10:15:48 PM"
"154.34",,"139.99","1","BT-TRIPOD-01","IL","7/7/2021 1:40:16 AM"
"90.88",,"83.95","1","BT3-0006","TX","7/7/2021 8:57:27 AM"
"219.46",,"199.99","1","Air-Cooler-None-Fan-1","IL","7/7/2021 12:03:37 PM"
"199.99",,"199.99","1","Air-Cooler-None-Fan-1","DE","7/7/2021 2:48:21 PM"
"207.56",,"189.99","1","Air-cooler-Non-0002","CA","7/7/2021 4:38:24 PM"
"201.39",,"189.99","1","Air-cooler-Non-0002","KY","7/7/2021 4:39:36 PM"
"222.59",,"209.99","1","Air-cooler-Non-0002","PA","7/7/2021 6:00:38 PM"
"200.82",,"189.99","1","Air-cooler-Non-0002","PA","7/7/2021 5:57:55 PM"
"201.86",,"189.99","1","Air-cooler-Non-0002","MA","7/7/2021 6:54:51 PM"
"279.98",,"139.99","2","BT-TRIPOD-01","VA","7/7/2021 7:04:25 PM"
"204.24",,"189.99","1","Air-cooler-Non-0002","OH","7/7/2021 6:58:28 PM"
"250.40",,"229.99","1","Air-Cooler-Big-0001","NY","7/7/2021 7:02:40 PM"
"201.00",,"189.99","1","Air-cooler-Non-0002","UT","7/7/2021 7:26:00 PM"
"243.10",,"229.99","1","Air-Cooler-Big-0001","MD","7/7/2021 7:35:22 PM"
"251.84",,"229.99","1","Air-Cooler-Big-0001","CA","7/7/2021 7:40:26 PM"
"246.38",,"229.99","1","Air-Cooler-Big-0001","CA","7/7/2021 8:03:31 PM"
"208.04",,"189.99","1","Air-cooler-Non-0002","CA","7/7/2021 8:42:26 PM"
"205.78",,"189.99","1","Air-cooler-Non-0002","CA","7/7/2021 9:00:56 PM"
"206.01",,"189.99","1","Air-cooler-Non-0002","NY","7/7/2021 9:04:35 PM"
"347.85",,"115.95","3","BT-01","NJ","7/8/2021 5:48:19 AM"
"213.57",,"199.99","1","Air-cooler-Non-0002","UT","7/8/2021 8:46:02 AM"
"242.18",,"229.99","1","Air-Cooler-Big-0001","VA","7/8/2021 9:11:43 AM"
"122.91",,"115.95","1","BT-01","MD","7/8/2021 9:24:09 AM"
"148.39",,"139.99","1","BT-TRIPOD-01","PA","7/8/2021 9:43:21 AM"
"216.61",,"199.99","1","Air-cooler-Non-0002","CA","7/8/2021 9:25:28 AM"
"610.36",,"139.99","4","BT-TRIPOD-01","AR","7/8/2021 9:51:24 AM"
"245.83",,"229.99","1","Air-Cooler-Big-0001","NC","7/8/2021 9:56:32 AM"
"247.81",,"229.99","1","Air-cooler-Non-0002","CA","7/8/2021 10:39:58 AM"
"196.46",,"179.99","1","Air-cooler-Non-0001","KS","7/8/2021 10:50:20 AM"
"123.63",,"115.95","1","BT-01","NJ","7/8/2021 10:57:33 AM"
"253.56",,"229.99","1","Air-cooler-Non-0002","IL","7/8/2021 11:21:36 AM"
"151.19",,"139.99","1","BT-Tripod-007","AL","7/8/2021 11:42:29 AM"
"123.20",,"115.95","1","BT-01","TX","7/8/2021 12:43:23 PM"
"628.49",,"259.99","2","Air-Cooler-Big-0001","CA","7/8/2021 1:27:56 PM"
"346.42",,"318.99","1","E1-FLOG-Y6RC","WA","7/8/2021 1:52:39 PM"
"275.59",,"259.99","1","Air-Cooler-Big-0001","ID","7/8/2021 1:55:40 PM"
"151.89",,"139.99","1","BT-TRIPOD-01","CA","7/8/2021 2:34:51 PM"
"281.76",,"259.99","1","Air-Cooler-Big-0001","NV","7/8/2021 2:22:25 PM"
"150.49",,"139.99","1","BT-TRIPOD-01","IL","7/8/2021 3:04:08 PM"
"277.90",,"259.99","1","Air-Cooler-Big-0001","NC","7/8/2021 5:10:30 PM"
"241.26",,"229.99","1","Air-cooler-Non-0002-1","CO","7/8/2021 5:18:23 PM"
"247.47",,"229.99","1","Air-cooler-Non-0002-1","NV","7/8/2021 5:39:54 PM"
"248.29",,"229.99","1","Air-cooler-Non-0002","NV","7/8/2021 6:37:16 PM"
